gene_names,pg_n1,pg_n1n2,pg_n1Andn1n2,pg_full,pnl_n1,pnl_n1n2,pnl_n1Andn1n2,pnl_full,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.6045621870990656,0.545530321047102,0.5757075386955599,0.3669744816201312,0.6045451424710915,0.5792693200149797,0.5920564301787847,0.7846495651294443,20000.0,158162.0,21.0,RP11-206L10.9
ENSG00000188290.10,0.4848274960267142,0.23379855547324663,0.33329096928403235,0.5633813286156096,0.4849351519087076,0.4938647616934598,0.4893978702457937,0.6804600003729948,20000.0,158162.0,31.0,HES4
ENSG00000186891.13,0.7121279227414449,0.6441048139170049,0.6804100142530337,0.006702765646069475,0.4724673399234949,0.9154431418733832,0.8381629153252623,0.04579998046437189,20000.0,158162.0,37.0,TNFRSF18
ENSG00000176022.4,0.5645080406732167,0.761365448024107,0.681169100958219,0.6718453515450411,0.2634030462940188,0.8965712159794895,0.7538792465070145,0.9188989148169204,20000.0,158162.0,40.0,B3GALT6
ENSG00000224870.6,0.36724087532116895,0.8162919664445689,0.6591831161188864,0.29343578025073375,0.30682737149985184,0.6822801432363577,0.492114526288371,0.22765567947084497,20000.0,158162.0,56.0,RP4-758J18.2
ENSG00000197530.12,0.03107808229622927,0.5786716541820591,0.0630948965735178,0.3786070208965828,0.029605078218633007,0.52057686546498,0.0590551838050547,0.43100379408817513,20000.0,158162.0,69.0,MIB2
ENSG00000248333.8,0.7031350876657045,0.8436120288747773,0.7919122730443562,0.7224285268418816,0.7345724562427041,0.6787081390300248,0.7085100240699653,0.5636470613770713,20000.0,158162.0,71.0,CDK11B
ENSG00000269737.2,0.5631014592776983,0.5098610659572623,0.5367387332341347,0.9595936133061023,0.5677268497920843,0.5089359919310542,0.5386617863232475,0.9470880237442736,20000.0,158162.0,72.0,RP11-345P4.6
ENSG00000189339.11,0.9057023490678675,0.8152499803820763,0.874362770781868,0.761500107944227,0.4418101604110218,0.800108629738473,0.6711414155644321,0.9114435477580117,20000.0,158162.0,73.0,SLC35E2B
ENSG00000008128.22,0.8745044651343519,0.04442160416521573,0.12768675927442436,0.34330176742802126,0.33281754562354665,0.05339369632732416,0.09522128130194613,0.5864691329595738,20000.0,158162.0,75.0,CDK11A
ENSG00000227775.3,0.7315990692804597,0.5518508687760733,0.6545013265211925,0.5340642343756078,0.7624622560028324,0.4238161522318739,0.6262333577771703,0.76938541264133,20000.0,158162.0,76.0,RP1-283E3.4
ENSG00000215790.6,0.7541663645861434,0.06371471208675117,0.15075093922806215,0.15511662624280825,0.7841934414787266,0.1030826531741954,0.272323524192305,0.155220986841078,20000.0,158162.0,77.0,SLC35E2
ENSG00000231050.1,0.2204846201095434,0.314487545392685,0.26117869819761974,0.3785982807342816,0.5416993509233848,0.7165820144841804,0.6399963763137928,0.5871486204330744,20000.0,158162.0,80.0,RP1-140A9.1
ENSG00000067606.16,0.17757899687596607,0.9302976511214565,0.8073535916389036,0.5465534167927532,0.1272048011256101,0.1371954817491347,0.13202233701569827,0.9485885342385946,20000.0,158162.0,84.0,PRKCZ
ENSG00000116151.13,0.6151208996752614,0.062406996540315784,0.12912702712585933,0.6724932307158964,0.6329629504510904,0.06864474738657156,0.1438196850045787,0.65229555605225,20000.0,158162.0,91.0,MORN1
ENSG00000149527.17,0.16900429971756598,0.4729172559286014,0.2677666190956057,0.23165280499181778,0.1936332131599915,0.5316709882136633,0.31252875491611426,0.22807908027246782,20000.0,158162.0,94.0,PLCH2
ENSG00000238164.6,0.013486233938204362,0.4034932336052648,0.026573474476594527,0.8019863201381507,0.42438154515261384,0.36840282006333175,0.3955572565115561,0.9398650114848572,20000.0,158162.0,100.0,RP3-395M20.8
ENSG00000228037.1,0.9141327171454925,0.753657303483302,0.8704543535036305,0.5333172125589707,0.9640605535625243,0.8126801918909972,0.9390536189561265,0.5028895364127057,20000.0,158162.0,102.0,RP3-395M20.9
ENSG00000157870.14,0.3818190656986337,0.950529432219615,0.8974738019929652,0.8774799221909625,0.46908348728688015,0.7618017114728404,0.6449769717390299,0.7996277642970769,20000.0,158162.0,103.0,FAM213B
ENSG00000142606.15,0.6777357631206052,0.6880174115307516,0.6829303453240951,0.34690843985574893,0.7363468711698378,0.8988446492564492,0.85106129608325,0.9997942877567634,20000.0,158162.0,104.0,MMEL1
ENSG00000215912.12,0.678477258069154,0.05516845728773173,0.11930207180872993,0.23846525316845424,0.7593156819748319,0.1135079846582504,0.2828986501604937,0.19062331466014681,20000.0,158162.0,105.0,TTC34
ENSG00000116213.15,0.4556913069460846,0.3682660229603222,0.41025340904577534,0.5205559647027101,0.5198539568728311,0.8252569475016378,0.7239946822147882,0.754622941277239,20000.0,158162.0,110.0,WRAP73
ENSG00000235169.7,0.5139945979936427,0.12255987006711488,0.2196145542099519,0.11331072839088357,0.6589945201667707,0.589365247757377,0.6257582019474568,0.08991450954696228,20000.0,158162.0,112.0,SMIM1
ENSG00000116198.12,0.13377915430765908,0.6822290853864036,0.28589299159379566,0.6619969964748845,0.17022744082145275,0.263292301752799,0.2082456108585497,0.7527888974803582,20000.0,158162.0,115.0,CEP104
ENSG00000198912.10,0.5621328099201426,0.994035302591028,0.9881187736929506,0.5136988061425771,0.6078328735565439,0.8986298101503729,0.8301536765080618,0.6441919566885961,20000.0,158162.0,117.0,C1orf174
ENSG00000069424.14,0.5787168020105631,0.010988967366359237,0.022144269869697197,0.051420981563753076,0.7237253183427007,0.02358772049243474,0.050018168344896696,0.07891045172978056,20000.0,158162.0,119.0,KCNAB2
