gene_names,pg_n1,pg_n1.1,pg_n1.2,pnl_n1,pnl_n1.1,pnl_n1.2,pg_n1n2,pg_n1n2.1,pg_n1n2.2,pnl_n1n2,pnl_n1n2.1,pnl_n1n2.2,pg_full,pg_full.1,pg_full.2,pnl_full,pnl_full.1,pnl_full.2,n1_size,n2_size,gene_ind,gene_name
ENSG00000041357.15,0.2994503282546853,0.470095790584221,0.11145536721027834,0.3315438748044507,0.4718653568486675,0.1038837879034364,0.4310804797708627,0.08318515564748878,0.6244975834178652,0.3426934546259909,0.12984124807573216,0.7232291344236326,0.040636210048545666,0.21998895645637606,0.8204444265398904,0.033605887318494995,0.2314752768306221,0.8316081559705436,20000.0,158162.0,14077.0,PSMA4
ENSG00000103811.15,0.6175311816308406,0.9303832039935569,0.2171678742941624,0.4867363259028515,0.8333770654150289,0.4893366891091051,0.4657003254111063,0.9790893044934236,0.13288200944649278,0.17988645750274487,0.9822018244313562,0.8819287540193373,0.7871041841423845,0.9196146982223328,0.4123668429337185,0.9058252767449356,0.9003252089962719,0.9886979613095808,20000.0,158162.0,14081.0,CTSH
ENSG00000259548.1,0.21991871341598507,0.04169540984132992,0.006275651587429277,0.2952421418180044,0.042804213863618934,0.008737071456692199,0.1557489456208034,0.7918260015823494,0.18472571019141065,0.16977177341399513,0.8109050097247932,0.1977542465583987,0.39226594422738414,0.0042345912300028885,0.02716894032653224,0.5731146171442022,0.004271607979409938,0.02304314796984264,20000.0,158162.0,14084.0,RP11-38G5.2
ENSG00000180953.11,0.14343147118336305,0.06648422362789909,0.7776971100161001,0.15044101834015505,0.13589024465588004,0.7037011253182711,0.7497363696160673,0.3957571442566708,0.34164460910074324,0.9301950532359786,0.31249255052403874,0.5531802619018501,0.2665331860845969,0.3709446920695293,0.28378787189398025,0.5291487233577883,0.3208556515094996,0.22668774285732785,20000.0,158162.0,14088.0,ST20
ENSG00000156206.13,0.7063942125983154,0.4887339154309959,0.2217155695757005,0.6537539354480522,0.5236098710130643,0.20963185272645216,0.5740162795488919,0.6452324331967246,0.10366854841120396,0.5703579120396272,0.6256882828390724,0.105240385112381,0.3285870540018454,0.3925266935181212,0.9265296367372826,0.3701087560296814,0.40603857813305794,0.900601517325849,20000.0,158162.0,14101.0,CFAP161
ENSG00000172345.13,0.5910323460538236,0.4111861668505336,0.3444611617446273,0.6882055841403236,0.7689939127837201,0.9588441436096004,0.3368573737149121,0.2607671618642876,0.15790472147135734,0.5956808338004693,0.6807420831772953,0.7527808936244296,0.5541915516630866,0.05981769494654132,0.4480749082312152,0.8715672200269228,0.9682890079298944,0.9529087715333528,20000.0,158162.0,14104.0,STARD5
ENSG00000259429.5,0.9996325460786856,0.7950775727668687,0.28489076114321626,0.7390591473824752,0.6455550680302599,0.11860396565582824,0.5447134856156093,0.40591100716705575,0.44908718939049785,0.7293128064863822,0.7293694017114591,0.4310909229743707,0.7252086788127847,0.8575431053862514,0.9865263858474359,0.9543650591759176,0.4539087842696566,0.499187308795837,20000.0,158162.0,14110.0,UBE2Q2P2
ENSG00000276710.4,0.10649402070238637,0.08085487412592578,0.1843796163924627,0.0956712821251639,0.08016250888248473,0.20932257173696253,0.9731951841996244,0.1335949142171206,0.7649668485706165,0.8654249372245224,0.1098611260193014,0.7115471370368239,0.8196299729161636,0.06938601202551946,0.2986535716068964,0.6657964156537841,0.08276200159398303,0.4709893089973779,20000.0,158162.0,14113.0,CSPG4P10
ENSG00000255769.7,0.7266053795341991,0.3213120809145427,0.005640189228397843,0.6309455916847622,0.5211663787045754,0.07474741836350599,0.5189134860065678,0.5115649141140138,0.017779332085464172,0.7324183699089113,0.9600991872064344,0.12082877942670694,0.7697365424503436,0.9239642323342075,0.804752058173966,0.7106970233313015,0.3715278433272441,0.38379518994512973,20000.0,158162.0,14114.0,GOLGA2P10
ENSG00000103723.12,0.7376987613507225,0.9620806919479729,0.9291647494215279,0.4639754793211875,0.8495592749406159,0.9873512414576848,0.1847392946349384,0.1245649182484126,0.3044501278201925,0.19744613990584214,0.14537620036299986,0.3734019983417851,0.3313920450020915,0.31248355982796905,0.1735257704588012,0.2304904096783839,0.3983577217829227,0.27130389976023234,20000.0,158162.0,14116.0,AP3B2
ENSG00000156232.7,0.13251657146372078,0.0064804761401690645,0.3624191865332035,0.16403535977065992,0.1858808581604773,0.4604589602994926,0.5585191050959749,0.03659660752531302,0.11197028513962766,0.7160362990436815,0.15238354699891404,0.2657529585856879,0.13218401938982458,0.8569144199575174,0.598347953124927,0.4554395955625167,0.5816602395624574,0.6926623109395234,20000.0,158162.0,14121.0,WHAMM
ENSG00000169609.13,0.14069004495727788,0.6955281512204836,0.3050601479708638,0.14506569780705594,0.7361811822307992,0.2992662191590964,0.6624197252391149,0.8646881202439507,0.6325633625245065,0.57894753022433,0.7652952538411061,0.7588089613534058,0.7390518468493907,0.9852905885237913,0.8928620138846302,0.8025075513290814,0.9523323239445908,0.8516849592963491,20000.0,158162.0,14124.0,C15orf40
ENSG00000260351.1,0.5807715542513758,0.7566589044540749,0.8920103834919044,0.6746125282926627,0.7880868870018467,0.9076546873946753,0.6793305869989026,0.0806942362098287,0.2348829953826981,0.7040358596968246,0.06374021530954582,0.2083934513592608,0.4477643412877901,0.4432042216180859,0.6311036246674521,0.292012036570802,0.4199705673949167,0.6610686719084238,20000.0,158162.0,14125.0,RP11-382A20.6
ENSG00000230373.8,0.3767888786646891,0.467848802143799,0.3124252477376325,0.37547235845477256,0.7799621363508427,0.342709937733223,0.07474218756397424,0.13778470043321878,0.8932293966671041,0.1438529595468954,0.10448891953886408,0.3810392640397974,0.76174823967514,0.4792881095491836,0.7737567361867241,0.8184722594202275,0.4898345642739134,0.4013261030254723,20000.0,158162.0,14130.0,GOLGA6L5P
ENSG00000176700.19,0.4551590104829513,0.1445241859434059,0.5113032897836467,0.6248638048349822,0.14230287520106474,0.5550459299868529,0.02266769723393814,0.11196657449854198,0.30819249474458105,0.02637103516051439,0.12251374084518557,0.3465243134050929,0.9690926911452132,0.6497983493711195,0.5573799024869226,0.9357114566077168,0.6539692425540995,0.5309054808077838,20000.0,158162.0,14133.0,SCAND2P
ENSG00000170776.21,0.19120927529643925,0.0043947408727214275,0.3805844220158045,0.3694014228257749,0.029488692559784944,0.334965402243951,0.7333772273392964,0.6706557682704996,0.8033397764786985,0.9800892896408744,0.7075826200458415,0.9164545663653636,0.7523623490207818,0.030063420222028726,0.7409369518522281,0.4028776127585999,0.0830606440689936,0.4813709769956717,20000.0,158162.0,14141.0,AKAP13
ENSG00000172183.14,0.9756606279464816,0.7098311437068245,0.7720984118033121,0.7770991492610921,0.4785319381981252,0.7495013150461114,0.44522669776356505,0.5117184191361308,0.13366327759858992,0.3091711866946755,0.4866776332774345,0.1660775174307255,0.09319978548331694,0.7439541543064615,0.5451225460767621,0.08505955618768443,0.9806910396401048,0.6095302167736812,20000.0,158162.0,14149.0,ISG20
ENSG00000140526.17,0.03912945192715544,0.4510494755297654,0.4225789815349259,0.17664350147976715,0.7761266569593834,0.8566819745452866,0.09245029224377896,0.758385481894687,0.0897940381013943,0.09207230102907647,0.5895834711020616,0.13473659712966615,0.20040446404511067,0.5454606025959912,0.1763426678202079,0.3278316609434484,0.8384317717964425,0.3925035625859469,20000.0,158162.0,14152.0,ABHD2
ENSG00000166825.13,0.8053632433810438,0.6022958241682611,0.5401654811688777,0.8265753781284321,0.4905558245598425,0.6344104184502115,0.8807705792467133,0.5309850242789258,0.8658992800919141,0.7043806913434223,0.4135890434838197,0.7998372950653088,0.6917276249064359,0.7126586039312615,0.3037721112626096,0.921708125391916,0.6684832872393041,0.2478702005734483,20000.0,158162.0,14164.0,ANPEP
ENSG00000157823.16,0.2455457424737108,0.3663212950346288,0.5243499566172094,0.23432760359714006,0.42118548535004463,0.9651896870327624,0.9145799974987212,0.04792421112416459,0.782853125144819,0.4399541505407426,0.026891753671754608,0.5173946187570357,0.7794814762967452,0.7219351719903169,0.2644502037728212,0.8880837126900374,0.6773681799261059,0.7405345029429476,20000.0,158162.0,14166.0,AP3S2
ENSG00000242498.7,0.3417803110882843,0.4534879021221049,0.8592741910008799,0.6614391776384614,0.8959058612364984,0.5279327812069291,0.9307143515772162,0.5045321668682599,0.7206383064536512,0.91072858796797,0.8552275430423586,0.8723587663573094,0.9681987915421724,0.7351561514241156,0.10342901561655443,0.7819024607501807,0.7020899648087253,0.2243716472147129,20000.0,158162.0,14167.0,ARPIN
ENSG00000259291.2,0.015290571817721912,0.9411151475995054,0.11585807856730125,0.0128128709395189,0.8699623157335918,0.09995400141565176,0.5613168150490884,0.5091272993019222,0.9009111063819716,0.560451157609974,0.5083609182376727,0.8997490250458433,0.6630345546122459,0.6214562542759875,0.955329035272034,0.6089024258216493,0.6727189131621775,0.9276915097956572,20000.0,158162.0,14170.0,RP11-617F23.1
ENSG00000185033.14,0.8726992251535209,0.8732188603014259,0.6225324403193724,0.9019411733250026,0.9390306923943214,0.4936519450957715,0.35815730365014464,0.7509947335941299,0.6738092821435877,0.352241510122011,0.7564380032667859,0.6731968920363809,0.9235072169841226,0.9528956259657207,0.07789871743256324,0.8292997319403044,0.937467694787686,0.09046524201831717,20000.0,158162.0,14172.0,SEMA4B
ENSG00000185043.10,0.6616727650051129,0.5360835589379822,0.8909850658142565,0.8235025020788421,0.5684784734642805,0.985992076346272,0.34493081604554465,0.5841277685177292,0.6355415898646153,0.4065180111765799,0.636736518893477,0.6186552968403192,0.7543632109956341,0.6756296971829698,0.4256284673123316,0.7874382725865519,0.6777536603986474,0.6536898048307576,20000.0,158162.0,14174.0,CIB1
ENSG00000183208.12,0.5797835975423263,0.32688550212788714,0.9051212704417289,0.8386180696037477,0.2862475081192779,0.8380080400903474,0.8747611990207784,0.43921957818568796,0.6655976162428234,0.8949320167724863,0.7981543667414406,0.5120752212971403,0.6786695947284255,0.4974514168038656,0.9608853146519936,0.7335504580814174,0.5132209194045259,0.7975668746728247,20000.0,158162.0,14175.0,GDPGP1
ENSG00000140575.12,0.133887487613143,0.8389524953737021,0.14122350781628265,0.1305347278855296,0.8355179832165623,0.5053276078151012,0.9485040594276084,0.375806437814992,0.08076903570263666,0.8763677231206941,0.4591747240035525,0.06962789341245543,0.04056309831756996,0.5944354786614758,0.0001891420757263036,0.28554597267663545,0.6201000922372604,0.00022485316227002086,20000.0,158162.0,14178.0,IQGAP1
ENSG00000197299.10,0.8311508967818001,0.43351274282332497,0.7138659497275688,0.7030876387168268,0.35828487453977986,0.9822639773752766,0.5744167387877901,0.8679952766931686,0.5923179177338902,0.4130337006307786,0.8731011885025404,0.6660210924181782,0.8894214956039425,0.40593387660706,0.4099843238318672,0.8647554671327393,0.8645970412784332,0.7358516411069627,20000.0,158162.0,14183.0,BLM
ENSG00000259704.1,0.027174722973142704,0.6983502678621051,0.3214406630665321,0.0122163830663173,0.7364253875342825,0.22112166138391612,0.6604563485100234,0.5843046735319368,0.8244151341381626,0.5874646025528928,0.6363442814942893,0.7497186875468126,0.6043866728017352,0.8658946402597927,0.626702885870515,0.5132506135387376,0.8427361737871568,0.4727991513357773,20000.0,158162.0,14184.0,CTD-3094K11.1
ENSG00000166965.12,0.903847383393826,0.3285043237190758,0.2420933954960691,0.5386270136762457,0.6639803458228786,0.4180122054996807,0.4194193010759065,0.8299476945560244,0.22278627526364747,0.5193159834430983,0.5316272270016607,0.8043116601937335,0.7596889072863485,0.04990440678525108,0.17867736904418352,0.2548213197713862,0.1691691224714522,0.1216661706244613,20000.0,158162.0,14191.0,RCCD1
ENSG00000176463.13,0.5478068246712149,0.6440123969777667,0.8330675287581437,0.475518682625145,0.8702442014147762,0.8413472159116873,0.9813349756119188,0.6936475367185535,0.3306824872714175,0.91053975998559,0.7868931814127497,0.2701631357135549,0.3856619509939597,0.235330720385927,0.40308773323155744,0.4147067672884423,0.2525787140659119,0.3400285553285332,20000.0,158162.0,14195.0,SLCO3A1
ENSG00000258831.1,0.05146196198887683,0.6652304751523936,0.4403884381090438,0.04211271886590152,0.7347874279964504,0.5529906603516627,0.8492855839129938,0.6316017180242729,0.9786519391540937,0.9359242402569304,0.6473412937088882,0.9113059815658846,0.8289224442027575,0.3316292646249769,0.8792781600039639,0.8352032523713897,0.22968077787232305,0.9229039109583512,20000.0,158162.0,14209.0,RP11-76E17.4
ENSG00000140450.8,0.14172370704775591,0.695759056563922,0.24053337123533444,0.19599499515294644,0.5708198023678362,0.2638254592816977,0.638128143196306,0.2904592276325991,0.9034653183889528,0.6789098048401432,0.2672708057942838,0.9437347695919932,0.02622535833517431,0.4010659946127733,0.9596719510566952,0.03050603799176985,0.4291239031779565,0.9892005721583008,20000.0,158162.0,14214.0,ARRDC4
ENSG00000183060.15,0.4931166924777482,0.9765338010802196,0.1285268481468456,0.4331535918418569,0.6973362843991487,0.1580472715227687,0.9861155242622764,0.9614987679439414,0.21827282410405285,0.9601290635825708,0.9891857715890496,0.3499174340092386,0.4895898252610327,0.9105103355321316,0.9524719352565392,0.5985205335109347,0.8824319191758749,0.910022188280376,20000.0,158162.0,14226.0,LYSMD4
