gene_names,pg_n1,pg_n1n2,pg_n1Andn1n2,pg_full,pnl_n1,pnl_n1n2,pnl_n1Andn1n2,pnl_full,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.8725391886189997,0.7003230593664932,0.8171731467352351,0.8452979991089151,0.9699819053114799,0.6720515083838586,0.9436167983556336,0.8241817392435555,40000.0,138162.0,21.0,RP11-206L10.9
ENSG00000188290.10,0.8779819072771126,0.130857546449566,0.5294824592090506,0.40114271298526344,0.9094183403652524,0.23321510855504762,0.7726676821813969,0.5967166392980232,40000.0,138162.0,31.0,HES4
ENSG00000186891.13,0.6868404896018503,0.8129168311298414,0.7626799039148563,0.3169645250666564,0.7548556249121481,0.8842908944733514,0.8407977214890203,0.31986034131276425,40000.0,138162.0,37.0,TNFRSF18
ENSG00000176022.4,0.7860319292040872,0.5077417355265225,0.6813147334274767,0.40504017980391976,0.7328700462975762,0.5076987659671006,0.6374935061533447,0.48320619747267,40000.0,138162.0,40.0,B3GALT6
ENSG00000224870.6,0.9848755944142094,0.42422033946537874,0.9694689921217448,0.2324649957196755,0.7596158568415903,0.41592979199722596,0.6200043852993936,0.21087934478759107,40000.0,138162.0,56.0,RP4-758J18.2
ENSG00000197530.12,0.9685632249128007,0.4614603104003931,0.9369877077547275,0.5977105793171169,0.7355146710058431,0.5702461032337911,0.6645731921495739,0.6934737128617752,40000.0,138162.0,69.0,MIB2
ENSG00000248333.8,0.9527543807662134,0.2085354064055291,0.886829687144033,0.19235944867860372,0.9722435029825047,0.39128890378125963,0.9431725387037238,0.3900116533670974,40000.0,138162.0,71.0,CDK11B
ENSG00000269737.2,0.646689906060803,0.8011443341798261,0.7404400228755437,0.3132576953258642,0.9999999272929672,0.880820850202202,0.9999998545860189,0.9999998434353703,40000.0,138162.0,72.0,RP11-345P4.6
ENSG00000189339.11,0.17506281504071908,0.08707688268257263,0.11697793990186439,0.19564276968811212,0.18950892319282037,0.41084365912161536,0.26993130169868795,0.48820760517324746,40000.0,138162.0,73.0,SLC35E2B
ENSG00000008128.22,0.8056679618880367,0.9646267187676193,0.9394722739971079,0.3977902640733407,0.6863595576029886,0.981580262320548,0.964629814920276,0.3879395050634735,40000.0,138162.0,75.0,CDK11A
ENSG00000227775.3,0.21775815117885544,0.8545812395140571,0.6222423351786726,0.919283657165177,0.7427742590593354,0.9813097594644282,0.9647122151964407,0.6281993019632194,40000.0,138162.0,76.0,RP1-283E3.4
ENSG00000215790.6,0.8265577306037788,0.01781811557527524,0.03910967981386154,0.15061226730893268,0.5154006990692448,0.037177416057042334,0.07377172477298127,0.8090170948338162,40000.0,138162.0,77.0,SLC35E2
ENSG00000231050.1,0.5121406629792468,0.3508227465815714,0.42681472341393806,0.1607602547364922,0.7730565432568948,0.906474389220026,0.8658549448803203,0.4875527834169487,40000.0,138162.0,80.0,RP1-140A9.1
ENSG00000067606.16,0.5235586132403934,0.6670740343420595,0.6004842500363181,0.9821521781112841,0.5336122214236951,0.6983426055205904,0.6244807256681568,0.853294729801233,40000.0,138162.0,84.0,PRKCZ
ENSG00000116151.13,0.00017625682984140356,0.07049630355473124,0.00035164877208210266,0.22352523612186947,0.0014974979944911149,0.07713846380395767,0.002938998736819576,0.2667825640435919,40000.0,138162.0,91.0,MORN1
ENSG00000149527.17,0.1587753376568315,0.25395717104434956,0.19683477954041118,0.30619788851430785,0.3413605290520223,0.3129810621676415,0.3267885684934708,0.3005318203233538,40000.0,138162.0,94.0,PLCH2
ENSG00000238164.6,0.8083673662674286,0.571098379703402,0.7226229759038884,0.8264265064925419,0.8258732698479581,0.5717977049613446,0.7394311227715751,0.8072720404333267,40000.0,138162.0,100.0,RP3-395M20.8
ENSG00000228037.1,0.3723180698402594,0.9439813397605554,0.8831107467036138,0.7992225519210414,0.5061553746089641,0.6363376570527981,0.5743629527468282,0.9671253165289107,40000.0,138162.0,102.0,RP3-395M20.9
ENSG00000157870.14,0.6223051354067137,0.6970686773788819,0.6621170033777364,0.8745213617017612,0.4938774292600874,0.7503373689476693,0.645397018455764,0.7734679683516519,40000.0,138162.0,103.0,FAM213B
ENSG00000142606.15,0.2954526524021889,0.45115381118178216,0.3649687885261398,0.47197255186650566,0.37957499168895603,0.5619372060660806,0.46821171246931304,0.5221392929613875,40000.0,138162.0,104.0,MMEL1
ENSG00000215912.12,0.5314796969516539,0.6756446444647519,0.6092619158056389,0.7604122803857121,0.5635681315693174,0.6893317302056068,0.6317999630746806,0.7180577351563697,40000.0,138162.0,105.0,TTC34
ENSG00000116213.15,0.26238940128750793,0.004391283326596718,0.008670299092034317,0.4114405255123734,0.212062454487341,0.005398377340700533,0.01056585477344818,0.6089510444428099,40000.0,138162.0,110.0,WRAP73
ENSG00000235169.7,0.576852807139378,0.8534600484327681,0.7695950988565662,0.5042459723521526,0.3283846041411335,0.7456257828697291,0.5589393437965683,0.7344242887125724,40000.0,138162.0,112.0,SMIM1
ENSG00000116198.12,0.7690556540170139,0.12179423418083068,0.31021944265349044,0.4691484044627757,0.6655506390696027,0.41668451160769526,0.548139355061413,0.9634537515039717,40000.0,138162.0,115.0,CEP104
ENSG00000198912.10,0.11179944043341922,0.7735820483758256,0.28827840465337107,0.8481353268935952,0.08480084378775221,0.9206229074788437,0.5414995317904764,0.9197308679329246,40000.0,138162.0,117.0,C1orf174
ENSG00000069424.14,0.7154059973548613,0.9266062115399791,0.880251977750916,0.6755530548448287,0.7574771770612163,0.9162367602701454,0.8733882261882906,0.639059170821669,40000.0,138162.0,119.0,KCNAB2
ENSG00000116237.15,0.7541468677297798,0.41062265577522694,0.6125217418401641,0.9435918301396751,0.12627244165736023,0.41633279702141834,0.20543100785466245,0.8127853826249346,40000.0,138162.0,123.0,ICMT
