gene_names,pg_X1_n1,pg_X2_n1,pnl_X2_n1,pg_X1_n1n2,pg_X2_n1n2,pnl_X2_n1n2,pg_X1,pg_X2,pnl_X2,stage1_fstat,stage1_X2_fstat,num_snps,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.8561938131552805,0.2554858876463498,0.10058181344192424,0.7741521832591929,0.943251113950858,0.8526350806601509,0.1573477404144045,0.12240486361101913,0.13788399534378334,14.32434197304041,6.290553657763493,4,40000,138162,21,RP11-206L10.9
ENSG00000188290.10,0.6164373353638877,0.803899396653187,0.6665633358815259,0.028296502488044044,0.015791694634866255,0.06186621746287669,0.0008742899492244581,0.002733653260832928,0.39357261486905737,11.319819308185933,1.9251710080449032,10,40000,138162,31,HES4
ENSG00000186891.13,0.902216008135062,0.34657537069284405,0.14689700510918638,0.4501606883436102,0.04220118427822752,0.016391832262834742,0.6639927307908735,0.9064641436356412,0.929599806372046,11.012872977985364,4.08701034190288,12,40000,138162,37,TNFRSF18
ENSG00000176022.4,0.8301697370236137,0.9313876551257196,0.7565026849823339,0.8918956996953804,0.18290920086544324,0.06603020410275277,0.7388755003144738,0.120479942876559,0.04234096343966805,11.432419999523466,4.054944617916067,10,40000,138162,40,B3GALT6
ENSG00000224870.6,0.3549802235144952,0.5734444998949425,0.6124561805138802,0.4390484882116059,0.1873525266691208,0.09720881911949142,0.935840959423474,0.7863775448416936,0.4910328548010684,12.552517710834234,5.472256865003761,3,40000,138162,56,RP4-758J18.2
ENSG00000197530.12,0.2472849946476398,,0.7690987941271517,0.6247147822377264,,0.6247138370251684,0.1833269382499012,,,17.374718557390295,<rpy2.rinterface.NULLType object at 0x2b8adb687910> [RTYPES.NILSXP],4,40000,138162,69,MIB2
ENSG00000248333.8,0.18516316872287328,0.40717472309688096,0.8388628610452721,0.13548832619677792,0.2487716590524228,0.4566963323983173,0.9627557864030926,0.5224801290788925,0.2548975983940226,13.009279357996581,4.890324150904408,11,40000,138162,71,CDK11B
ENSG00000269737.2,0.5278350035242716,0.4577708693270964,0.2805966730101181,0.3832775810891482,0.6350262890840266,0.7004381823022658,0.6793611260080027,0.4381865025934928,0.22385609923324792,11.85370178249034,14.836658419112315,19,40000,138162,72,RP11-345P4.6
ENSG00000189339.11,0.06377052744579102,0.13354444112919345,0.4423547981080132,0.8627796991972674,0.9844851784790776,0.9701565014907824,0.2672096606392262,0.5105852101604098,0.7362050406063525,41.560164904225786,6.5661952699524475,14,40000,138162,73,SLC35E2B
ENSG00000008128.22,0.7718463835694364,0.9366080092634916,0.8285548290424851,0.9702516542844908,0.9448646427764406,0.737838770735479,0.6937472844979962,0.925195047474762,0.9812863742620662,27.240287009844906,8.487626396345137,9,40000,138162,75,CDK11A
