protein_name,gene_names,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
Apolipoprotein E,APOE,0,0,0,0,0,5.19935037233818e-108,1.45938575986902e-117
Complement receptor type 1,CR1,1,0.151640708952267,0.00918746010990779,1,0.0259856206587033,0.000179180890971989,0.00104941175253576
Receptor tyrosine-protein kinase erbB-3,ERBB3,1,1,1,1,1,0.0147837156935642,0.0461356899627599
Lipocalin-15,LCN15,1,1,1,1,1,1,0.0107518749536275
Paired immunoglobulin-like type 2 receptor alpha,PILRA,1,1,1,1,1,0.719068882885049,0.053702147898752
