gene_names,pg_n1,pg_n1.1,pg_n1.2,pnl_n1,pnl_n1.1,pnl_n1.2,pg_n1n2,pg_n1n2.1,pg_n1n2.2,pnl_n1n2,pnl_n1n2.1,pnl_n1n2.2,pg_full,pg_full.1,pg_full.2,pnl_full,pnl_full.1,pnl_full.2,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.7339629220815289,0.7501287444614362,0.06405983148341046,0.6815042970013923,0.7399182628717846,0.06555913853168449,0.654525315690349,0.4850952041139921,0.987161923820481,0.5170083813317139,0.36176202277296987,0.8734181830667662,0.8503702912850681,0.2590887484228015,0.7553167419340969,0.9668473608671008,0.21385159406500173,0.8868202891030373,60000.0,118162.0,21.0,RP11-206L10.9
ENSG00000188290.10,0.7848720321323243,0.6109652289191105,0.8048504667146268,0.4241717283546522,0.3524422682530836,0.13571285075714815,0.2901659008560551,0.009205948477694232,0.03781206614600097,0.3848161419187278,0.1715284208123469,0.19400888892936075,0.8447923234937093,0.23139483554422874,0.01602234115959115,0.4923485330606001,0.3230907388833295,0.7482257581114571,60000.0,118162.0,31.0,HES4
ENSG00000186891.13,0.6176189552395306,0.01640853587846841,0.7241919605910123,0.6237377077982669,0.019012642847927773,0.5559928526623984,0.27549272132248404,0.3133769708465414,0.5776906483586695,0.4629243729958923,0.5984365566859929,0.3658434616495029,0.5329060505882224,0.09482576312223392,0.4707733526145714,0.5251659423215982,0.1323494994442943,0.4555485420883894,60000.0,118162.0,37.0,TNFRSF18
ENSG00000176022.4,0.5692690907695844,0.949977930487308,0.9119515224202891,0.7179976085327344,0.8843850922442893,0.8831179756052471,0.22906637449727205,0.004005988684978211,0.22067378650272804,0.2492470468162118,0.007116063955241945,0.4358076655642563,0.20338055859827672,0.8769264918289424,0.011064560578059374,0.5710258645681963,0.8484673342626509,0.014015120764078412,60000.0,118162.0,40.0,B3GALT6
ENSG00000224870.6,0.4398690986870003,0.29396682365753984,0.9836230775917022,0.4019576688446079,0.4630917296425983,0.6442422792848503,0.7465607865533397,0.6948917590904007,0.6455984405225608,0.9997848440465512,0.622955000900751,0.7611760414059879,0.4603628581167857,0.6120054733463673,0.3505478419793868,0.5080249986872964,0.9017556781384259,0.8181991320904509,60000.0,118162.0,56.0,RP4-758J18.2
ENSG00000197530.12,0.5838057975390076,0.3610532964352481,0.7160472417968119,0.5881934246974554,0.37015925758060575,0.7409847335193805,0.6312850873167477,0.06405308625186522,0.03948089745307363,0.6320865847976582,0.0643334377664281,0.04032755374251146,0.3872505451383553,0.9534969925605016,0.07774495559998347,0.3861470837765068,0.9273626118251964,0.06562008708096896,60000.0,118162.0,69.0,MIB2
ENSG00000248333.8,0.2822080980068065,0.260783804722822,0.5479594593951931,0.2701138442173001,0.3385513574227316,0.6509184509069411,0.2608357110036808,0.6739579711918828,0.1985869665278868,0.22217930782375456,0.8487186283816809,0.2476563282040856,0.22805068794445876,0.5189084125000359,0.44951602525866907,0.4383765687155231,0.3188410353102408,0.9608335473472164,60000.0,118162.0,71.0,CDK11B
ENSG00000269737.2,0.2858261137920468,0.4552760520735257,0.6828026416015809,0.3308486299700888,0.4288169906868521,0.6852402754790841,0.2124580419841499,0.12583597875289496,0.13108930189313014,0.12287493408514083,0.11528184078760778,0.2050321518604845,0.9903036443132568,0.69294641569623,0.3590048068974772,0.9728947716509564,0.6123781205303709,0.4048633962893495,60000.0,118162.0,72.0,RP11-345P4.6
ENSG00000189339.11,0.6818709284615171,0.0840604326779851,0.8580069583591241,0.6318345070561153,0.3616506780018896,0.8538546928996096,0.5027978789014715,0.4729236236228797,0.34398050641068845,0.5419650366278648,0.33543787843158224,0.3648018981880121,0.4364962512870129,0.597686196920239,0.29223359892469114,0.3558670294267734,0.5958194556996628,0.3882184127760176,60000.0,118162.0,73.0,SLC35E2B
ENSG00000008128.22,0.6101719627380021,0.3894557499383397,0.3558807251379744,0.8012579314196437,0.3716512215876714,0.3076768558451474,0.9482804462337816,0.8130043130136971,0.8229120072243177,0.9792548967893036,0.837740051441381,0.8297401134241449,0.8765481190299641,0.8565076325214691,0.20538656313379447,0.8992992160767894,0.7612676775919017,0.2057680788769036,60000.0,118162.0,75.0,CDK11A
ENSG00000227775.3,0.6912582343959934,0.9262672207690272,0.8403619798359065,0.7061035583577793,0.9737278683131192,0.8855746200932965,0.6966783836722981,0.3807483659135688,0.3254531999410724,0.7810609851144821,0.4186580845713879,0.30857997979526336,0.5573766009743998,0.8549769003025217,0.23333662947465064,0.4651998680275974,0.857056309570086,0.2461373021274645,60000.0,118162.0,76.0,RP1-283E3.4
ENSG00000215790.6,0.7100331356759633,0.025399564825096588,0.4829093050742072,0.7945916668809461,0.06339241176836376,0.3221759359220517,0.16510987781990974,0.008585162286856948,0.011212645203112478,0.05564045728013108,0.013337954370455006,0.08620088019436586,0.19247759750811855,0.9041169115574644,0.8168475315634831,0.11251162592269943,0.4522008507081913,0.7449581217534467,60000.0,118162.0,77.0,SLC35E2
ENSG00000231050.1,0.2765770056395188,0.5135402734742747,0.17005687153125132,0.5563606572911528,0.8729301249113464,0.5358488019819685,0.4188802536926424,0.15343922218769973,0.1914600353032679,0.28942115928747525,0.7528458120985059,0.051319011229137575,0.6709229161624338,0.0609353697957948,0.4826528041684206,0.8518987422269949,0.6413944005449845,0.8865860133117938,60000.0,118162.0,80.0,RP1-140A9.1
