gene_names,pg_X1_n1,pg_X2_n1,pnl_X2_n1,pg_X1_n1n2,pg_X2_n1n2,pnl_X2_n1n2,pg_X1,pg_X2,pnl_X2,stage1_fstat,stage1_X2_fstat,num_snps,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.6010542717324454,0.24974180160329146,0.11376047812133196,0.3844290029886557,0.6669655995600718,0.8169511171096562,0.1573477404144045,0.12240486361101913,0.13788399534378334,14.32434197304041,6.290553657763493,4,60000,118162,21,RP11-206L10.9
ENSG00000188290.10,0.02467425127972327,0.027742415217850317,0.14510535062228602,0.04267986098845258,0.0386232883063001,0.1213506842429731,0.0008742899492244581,0.002733653260832928,0.39357261486905737,11.319819308185933,1.9251710080449032,10,60000,118162,31,HES4
ENSG00000186891.13,0.1884034429370564,0.3529230798112289,0.5524631333242074,0.28135266277432885,0.30607822303867,0.27186431190343835,0.6639927307908735,0.9064641436356412,0.929599806372046,11.012872977985364,4.08701034190288,12,60000,118162,37,TNFRSF18
ENSG00000176022.4,0.42265247261466987,0.7242259669288516,0.9614145265379792,0.5442970697628925,0.038682816301832436,0.013237473900339951,0.7388755003144738,0.120479942876559,0.04234096343966805,11.432419999523466,4.054944617916067,10,60000,118162,40,B3GALT6
ENSG00000224870.6,0.2284939905545957,0.19479747778645431,0.1771545090259896,0.7228393398028793,0.2440680016870325,0.10067302287968252,0.935840959423474,0.7863775448416936,0.4910328548010684,12.552517710834234,5.472256865003761,3,60000,118162,56,RP4-758J18.2
ENSG00000197530.12,0.9876647500132822,,,0.9065662987287688,,,0.1833269382499012,,,17.374718557390295,<rpy2.rinterface.NULLType object at 0x2b8c73af38c0> [RTYPES.NILSXP],4,60000,118162,69,MIB2
ENSG00000248333.8,0.3456063843524443,0.4189690425411863,0.35645260443259563,0.3915385499329722,0.6152197510907715,0.6260709574359374,0.9627557864030926,0.5224801290788925,0.2548975983940226,13.009279357996581,4.890324150904408,11,60000,118162,71,CDK11B
ENSG00000269737.2,0.4524066037501856,0.6278359774810123,0.5450288122049516,0.5916168211741677,0.8411556252399965,0.8094227695821081,0.6793611260080027,0.4381865025934928,0.22385609923324792,11.85370178249034,14.836658419112315,19,60000,118162,72,RP11-345P4.6
ENSG00000189339.11,0.2608559890196095,0.4676663260812662,0.6130481808127974,0.496106235408277,0.7810255746523973,0.8600793134117484,0.2672096606392262,0.5105852101604098,0.7362050406063525,41.560164904225786,6.5661952699524475,14,60000,118162,73,SLC35E2B
ENSG00000008128.22,0.8822074346105012,0.3122432386148623,0.12888100967718566,0.7870001699527436,0.9633507324778162,0.9671610202139644,0.6937472844979962,0.925195047474762,0.9812863742620662,27.240287009844906,8.487626396345137,9,60000,118162,75,CDK11A
ENSG00000227775.3,0.8966804166060105,0.6483622660406937,0.3566368034956461,0.8201134559144064,0.6163205611398415,0.3384500134663415,0.4297071389938128,0.7311059177315707,0.957144331231398,69.54689917092314,6.597528257048098,15,60000,118162,76,RP1-283E3.4
ENSG00000215790.6,0.16054661996942102,0.2045470837298182,0.2723623815459741,0.484285714684441,0.19185198241103052,0.09350995707587688,0.958243891554902,0.9500913208703891,0.7521181359050839,13.813270913813682,11.053950196288246,14,60000,118162,77,SLC35E2
ENSG00000231050.1,0.007995530406226761,0.028957704264307757,0.8241444651318809,0.17993002564855326,0.10914285863095187,0.10472830734743743,0.7301628424087152,0.3663867967421751,0.1692841450140914,13.580830951269418,5.619023658883194,11,60000,118162,80,RP1-140A9.1
ENSG00000067606.16,0.9767137322398918,0.29204364988141657,0.11671998308765735,0.6609560150476482,0.6947204714511332,0.4640297007241102,0.6335783587642839,0.16905591571770565,0.06811336156475882,10.986755455453363,3.4209781281562357,8,60000,118162,84,PRKCZ
ENSG00000116151.13,0.6142873916531947,0.7444418787848675,0.5620185659555437,0.6407859745855393,0.724319520149765,0.5132870683110629,0.2379746288620981,0.4411569012312414,0.6211405827777563,10.18453831859609,3.625388645182644,12,60000,118162,91,MORN1
ENSG00000149527.17,0.8016733368019431,0.9515170811763976,0.8489740779219229,0.12027954674326766,0.2326021282334122,0.4780911400078458,0.7858462110593866,0.9323645264921092,0.7967357071685617,17.22194738378127,4.753184691069465,24,60000,118162,94,PLCH2
ENSG00000238164.6,0.4753683109010333,0.6151716328090713,0.4965986237806099,0.3811303645400429,0.434791663879594,0.3431157938361058,0.4363704620378758,0.7127795624457548,0.789213561192355,14.300365195138367,5.051830107517139,11,60000,118162,100,RP3-395M20.8
ENSG00000228037.1,0.4802963849982198,0.4232149220769137,0.2690638145937621,0.7690650802851731,0.9472101162308116,0.8812899481314133,0.4861073380428421,0.5575433524566877,0.4084165232792615,11.349079671060153,3.290970863246448,4,60000,118162,102,RP3-395M20.9
ENSG00000157870.14,0.4408285825478221,0.711759065907942,0.7694936177968941,0.7260079899000159,0.5952198221649522,0.3388259503117931,0.3581484475278123,0.6110356269471401,0.7073544868916914,14.585380525914688,4.943917487457108,8,60000,118162,103,FAM213B
ENSG00000142606.15,0.5474083608134068,0.5085029902500056,0.3196098885297752,0.7047614810193119,0.5083830485810411,0.2714309008737882,0.057548809873332586,0.039144915976121575,0.0899971214996747,21.00081916145156,9.175242381272652,6,60000,118162,104,MMEL1
ENSG00000215912.12,0.118020863231844,0.1875415284884463,0.34168696888654826,0.5851799080050972,0.8581876401792989,0.9288954217245028,0.809419799222087,0.7589744597329641,0.4823635748248533,15.586343817119108,2.592821467076557,3,60000,118162,105,TTC34
