gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000182873.5,0.893922778680427,0.737523645228809,0.846441733978246,0.478801374965488,0.8931396383455,0.827193267867354,0.776483720368223,0.262348793503333,0.358197794581545,0.769295177830625,0.256057296753145,0.348132856928687,10454,367182,86,PRKCZ-AS1,0.846310986383562,0.811409013852439,0.476613654778357,0.462993643811788
ENSG00000162585.16,0.0946898183584986,0.922744424935231,0.291501629996875,0.487049024788468,0.632041148465571,0.852815957994925,0.0225911264179335,0.257793436606658,0.225901656776034,0.0091865408294798,0.160170111935652,0.0483630264686747,10454,367182,87,FAAP20,0.500953781256605,0.715161699480629,0.0583468219678229,0.0221781049665975
ENSG00000116151.13,0.183807335444013,0.23894067245138,0.514436344505937,0.233142333722423,0.915496562781333,0.497041447917341,0.159155019294188,0.457078910939512,0.0057994588722327,0.498378311069841,0.586792759190547,0.0437346976509943,10454,367182,91,MORN1,0.275046076571781,0.724657767833001,0.0167829054631167,0.129579303486123
ENSG00000149527.17,0.961042670637706,0.377979865774465,0.552270493949273,0.848461037019532,0.94053099255385,0.650185918052515,0.788333473828528,0.280691802305401,0.23198864806136,0.662320048197104,0.463761833587584,0.501520352634776,10454,367182,94,PLCH2,0.884374240215363,0.882295518948173,0.430224167476732,0.547364180373838
ENSG00000157870.14,0.308840658551913,0.777090746445452,0.0659038121180039,0.436116195653111,0.725145252579578,0.898579716731245,0.477866918782998,0.542342929488474,0.371403450215384,0.509686241352666,0.572964595925591,0.443663653506033,10454,367182,102,FAM213B,0.195332735773201,0.782419630720395,0.461634783511708,0.509006657956757
ENSG00000142606.15,0.744988242664282,0.0922297206346149,0.561765730843283,0.353634606480283,0.0924473253523244,0.729154957345375,0.633332624541361,0.0334101716959169,0.183118234228497,0.753772206536603,0.048436858331961,0.193861022216092,10454,367182,103,MMEL1,0.299375472715151,0.251915832801561,0.087876479565399,0.130033468699152
ENSG00000215912.12,0.215960503841817,0.698781070227788,0.467321145880706,0.146706949969421,0.4250927157478,0.414396890748701,0.442005195980963,0.0174424946177611,0.3372475759927,0.315678306026765,0.0237906550944351,0.859194875693588,10454,367182,104,TTC34,0.434841107683477,0.277036705594765,0.0499095755067895,0.0786253478999749
ENSG00000116213.15,0.912063824709919,0.771968523257106,0.166886677641382,0.85494634037531,0.252159789694191,0.27316451593931,0.661908559356328,0.337664234138927,0.455754267077031,0.64449373217062,0.353243874002807,0.437110594941695,10454,367182,109,WRAP73,0.747133773904186,0.520107331950887,0.484980035850345,0.477858619074238
ENSG00000235169.7,0.94091779174313,0.213927528090562,0.871514065468099,0.94860060166866,0.176257115307714,0.723092444536183,0.814822807124313,0.493846080848267,0.106110705149819,0.820908856922487,0.524380854604888,0.132699641872861,10454,367182,111,SMIM1,0.860665172779147,0.837711484623044,0.362181022718449,0.437611769567011
ENSG00000130764.9,0.404630750434453,0.246666715975545,0.724217147416227,0.397539000517,0.174924204387375,0.638893968592722,0.0584563880061806,0.0200802325898507,0.050614418084855,0.0386456070847889,0.0168823579449172,0.0312858019688962,10454,367182,113,LRRC47,0.449473597676153,0.352426038857877,0.0346497012213395,0.0256322063279471
ENSG00000116198.12,0.39770092951347,0.207565581625371,0.961026519639823,0.562802602517552,0.647243676189661,0.953673350565526,0.5749376131892,0.817105218179363,0.199683767531323,0.708337006868915,0.908087280731768,0.263840560951626,10454,367182,114,CEP104,0.862058113498841,0.879187266259746,0.542727100753409,0.761111811611696
ENSG00000198912.10,0.933856660551576,0.845396541377222,0.477977693011625,0.917019284185377,0.896678821468038,0.543942172201517,0.547307937357672,0.628936274217319,0.484510930514418,0.679618942101095,0.662015914649951,0.462356205951546,10454,367182,116,C1orf174,0.863617225715253,0.868764212101971,0.555640277246038,0.609256381591433
ENSG00000069424.14,0.775548674085379,0.910470681165265,0.945430879005806,0.246407193784974,0.625665499598219,0.99705910513132,0.0715880170737899,0.793881553966174,0.536815538858006,0.296077031205988,0.855056867491458,0.780733816742282,10454,367182,118,KCNAB2,0.910703915289401,0.99112966915442,0.253603099035675,0.721836851953404
ENSG00000158286.12,0.0078297945496533,0.0512708215426364,0.797938635345647,0.263546847647355,0.115668357185541,0.433357993205091,0.994943177334009,0.370550310152962,0.404389618528229,0.949222266500352,0.218154091907368,0.818985611327703,10454,367182,120,RNF207,0.0209836707303859,0.214342834797084,0.984659541651452,0.863414099861462
ENSG00000116237.15,0.817111335050158,0.543616810637033,0.370180203271346,0.500845771633971,0.499659774286494,0.376553806668472,0.550721736969521,0.922110953470413,0.417146273153974,0.572708892427603,0.933408386673728,0.596886000260724,10454,367182,122,ICMT,0.62570282234064,0.457086566738112,0.791253693422249,0.834925684024899
ENSG00000215788.9,0.197982064536561,0.858924273133241,0.436361227324525,0.0896088132782166,0.67051086527195,0.443746734782041,0.603112965571761,0.425806087278142,0.221633679260255,0.958565904238624,0.45578077411677,0.394226006583941,10454,367182,126,TNFRSF25,0.553504579822331,0.247740286623566,0.388330549080662,0.873607558794795
ENSG00000171680.21,0.845326384057162,0.211387861684564,0.581804714704674,0.756864830060056,0.879412546677223,0.971806711858335,0.703696149512425,0.651313399707879,0.193495028603918,0.70612325116759,0.525263072877891,0.169143929632328,10454,367182,127,PLEKHG5,0.59067872571984,0.93641128841068,0.481126886371881,0.410600497043207
ENSG00000162408.10,0.784715814684835,0.489970290271836,0.369150127666655,0.683039924119767,0.818970137918694,0.796342999328422,0.542134711598493,0.488265304764563,0.518383410263359,0.788206342238068,0.837293711738975,0.854420248130349,10454,367182,128,NOL9,0.580817862861194,0.776943014031105,0.516334447945282,0.830449071480929
ENSG00000204859.12,0.616361239678735,0.583559476757665,0.322610037109264,0.609670494886002,0.319764015568607,0.29662883394969,0.991004860032328,0.0415327176475121,0.745865200790181,0.999167805256353,0.0416373118952503,0.739905878330281,10454,367182,129,ZBTB48,0.50300239646293,0.395710268166545,0.966883410845519,0.997459204937403
ENSG00000116273.5,0.192094239126783,0.719675132286092,0.834435921393649,0.519889478048543,0.714352992593059,0.851593104052798,0.397835030042853,0.854123928812955,0.366477118119355,0.311670453068114,0.731716213021026,0.318742375624616,10454,367182,130,PHF13,0.613801385531383,0.741701617504851,0.625549712377895,0.45563245000465
ENSG00000041988.15,0.387552698755307,0.833749364859139,0.242918994638416,0.408010264969563,0.972537747006746,0.420843405844751,0.421278484384038,0.75871172766059,0.788147903772211,0.437463193310765,0.837313848149209,0.815842158531431,10454,367182,132,THAP3,0.534144894964363,0.915328529163742,0.692801620820676,0.756001649556172
ENSG00000049245.12,0.352318326077322,0.965332277039887,0.554548812338533,0.696540551694861,0.924536147808352,0.56492388054598,0.582983222802035,0.827049217146823,0.380973682497216,0.579463820063113,0.819290968281696,0.375836119734077,10454,367182,135,VAMP3,0.895617712513306,0.82952883919361,0.650124991281255,0.640012681962685
ENSG00000142599.17,0.825432972069242,0.746771540236628,0.527777575614057,0.85599891465572,0.482513007372678,0.435792698751791,0.384447122194811,0.726230950784214,0.833293903955217,0.48921443649252,0.902244947982506,0.849122272356937,10454,367182,144,RERE,0.733511323517628,0.671871508949678,0.702270394094282,0.829886228298711
ENSG00000178585.14,0.041955643206142,0.915901007051442,0.622667640506333,0.0445039361271773,0.871624413616133,0.43199495195147,0.362681469428042,0.415122253549578,0.274503691053479,0.356183813941274,0.400890981344422,0.26514107285777,10454,367182,161,CTNNBIP1,0.22825306908402,0.172610152009124,0.344848043251836,0.334594409010147
