gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size,ukb_size,gene_ind,gene_name
ENSG00000188290.10,0.771693457851572,,,0.3198565820676088,,,17.33508389623046,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f448df45780> [RTYPES.NILSXP],5,10454,367182,31,HES4
ENSG00000217801.9,0.082691050710154,0.2218932029492295,0.993708621172374,1.1422729631074246e-05,2.565736742068709e-05,0.1698811225752349,14.768286402589125,3.268458675373844,6,10454,367182,34,RP11-465B22.3
ENSG00000131591.17,0.0562059076572141,0.1173346554782151,0.423837804589812,0.1450376934106184,0.3436878641093384,0.9114565619751824,10.993552885005132,2.6661573645151915,3,10454,367182,35,C1orf159
ENSG00000186891.13,0.7946903788041147,0.960636583309262,0.910611613205896,0.2741406013074848,0.3485270660563071,0.3395396252137116,11.45194545504182,3.249889446524871,7,10454,367182,37,TNFRSF18
ENSG00000078808.16,0.3804460472740395,0.1933831310649635,0.1126375125800909,0.6403363839582559,0.0071247665355649,0.0018729710540407,12.72763925691676,3.0328071152301934,3,10454,367182,39,SDF4
ENSG00000176022.4,0.4395138832447138,0.7357973771006826,0.8991006229758386,0.9302023389163252,0.3100638222060917,0.1265535717083527,20.234670468979918,5.377673707561627,3,10454,367182,40,B3GALT6
ENSG00000189339.11,0.6986263001313566,0.6681041823163147,0.4177297969444826,0.5835398090693777,0.5151873423463567,0.3111232289768211,19.66312833679134,3.6484449383029545,3,10454,367182,73,SLC35E2B
ENSG00000215914.4,0.7749425053375488,0.0776830572238087,0.0249370599868676,0.6474987326106669,0.6721063173955125,0.4441222165509588,10.283882899816604,2.2180214486216268,2,10454,367182,74,MMP23A
ENSG00000008128.22,0.1052457424222805,0.262987376564667,0.827964561293736,0.9446399220759778,0.8723357231600231,0.6044477164426216,16.486115287339146,9.27486207045109,5,10454,367182,75,CDK11A
ENSG00000231050.1,0.3933479752076401,0.6702508079156264,0.788919574952358,0.5260077505963645,0.8003595507179959,0.8351784410370862,23.88066563420128,4.342368189468429,5,10454,367182,80,RP1-140A9.1
ENSG00000067606.16,0.8830970512782932,0.9066699244741848,0.6762969189493331,0.1329003718721828,0.1998705266871617,0.3267140550216928,11.031610654589135,4.4649684590188246,6,10454,367182,84,PRKCZ
ENSG00000182873.5,0.9814164906263628,,,0.3232682644928424,,,13.843047852622927,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f4486fa2840> [RTYPES.NILSXP],3,10454,367182,86,PRKCZ-AS1
ENSG00000162585.16,0.1540856204807805,0.3578110081038776,0.8762105550403814,0.801956319769197,0.1340134089868521,0.0466846735542115,16.685357125289183,4.681374392262461,6,10454,367182,87,FAAP20
ENSG00000116151.13,0.0792253423703542,0.2008893404492961,0.7190329277843188,0.6948848562527258,0.7366116471160787,0.4987756701661587,12.434982297059742,5.522376307946066,8,10454,367182,91,MORN1
