gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000188290.10,0.94008694471067,0.541138185665877,0.213946175102314,0.876792134503864,0.502062812057282,0.354330706208769,0.0517628527450105,0.728883230703967,0.99409791825736,0.0444059779274885,0.758906438197194,0.852637833207363,10454,367182,31,HES4,0.281400926499364,0.25442415749673,0.980418714800417,0.202542393824057
ENSG00000217801.9,0.431916465475923,0.0731412829923251,0.0020920337992448,0.23266613029168,0.317675062291857,0.999999989543086,0.851335347174598,0.564137826655931,0.735500016661895,0.691719407225846,0.364126350508891,0.836350508630779,10454,367182,34,RP11-465B22.3,0.771177681834844,0.824140796856888,0.755228300999758,0.687409258712167
ENSG00000131591.17,0.074545358491186,0.0912606534533918,0.618731931146072,0.257441783494348,0.77298107988148,0.727556805502745,0.346524440012858,0.223629295869225,0.8724465759868,0.572874655254203,0.754297848554902,0.463943469577801,10454,367182,35,C1orf159,0.700807152120241,0.370783954196749,0.568526120724733,0.616208616600451
ENSG00000186891.13,0.717452807188832,0.638861147013722,0.251939002903233,0.706409767222225,0.905979736359636,0.22165648142545,0.358959989656334,0.728834660219025,0.312986392968877,0.328294202657419,0.797470890788741,0.353223322070551,10454,367182,37,TNFRSF18,0.438943825953101,0.475235532184191,0.471913421636014,0.527322517880859
ENSG00000078808.16,0.889551950371055,0.568951685022078,0.586544130660983,0.822460186110124,0.561556473333048,0.592369076832473,0.149906247747727,0.0957222203067906,0.0808065573181383,0.500064993614192,0.339897881863869,0.268001564726467,10454,367182,39,SDF4,0.619960934855091,0.658883425855908,0.101965105130054,0.35730797569659
ENSG00000176022.4,0.464266405996306,0.805405672072064,0.527887081255289,0.426050249069672,0.805089626651627,0.471851452739436,0.537378314637165,0.476837474154663,0.509724591975346,0.940601082373072,0.997855591233223,0.942716395129091,10454,367182,40,B3GALT6,0.442396102843414,0.40844813077038,0.508023365978071,0.994003462689221
ENSG00000189339.11,0.367555118176235,0.630917450820471,0.614848394692348,0.296974888401483,0.653890728098079,0.568401186321691,0.372803978129041,0.990546256354944,0.771058820220116,0.411678680827307,0.945923780796804,0.689589977241636,10454,367182,73,SLC35E2B,0.799930230259688,0.749751302741344,0.972294397049613,0.85700127621835
ENSG00000215914.4,0.600930767137079,0.63107399969185,0.232956761331906,0.647346446385197,0.924495378249201,0.264184943629603,0.902768785925724,0.508343046752477,0.945049632981429,0.987774595154091,0.488593066591844,0.93676335088071,10454,367182,74,MMP23A,0.82607963744707,0.97723086200162,0.896862772101147,0.969247409698815
ENSG00000008128.22,0.41742834097858,0.718623036331911,0.142429581097678,0.22491820146072,0.541975326342533,0.924335329884079,0.672575116595138,0.577469727301635,0.763678258397078,0.988590547289547,0.857086692050062,0.839436049057149,10454,367182,75,CDK11A,0.274045491483582,0.789547260525081,0.682758596964628,0.970034841899656
ENSG00000231050.1,0.92774041896925,0.52769854864807,0.229919730803952,0.920489414562538,0.999259122106003,0.159706821899863,0.203369862153387,0.308923030895365,0.139551921746562,0.589506049118418,0.105250802514205,0.286725841925765,10454,367182,80,RP1-140A9.1,0.13019089836498,0.158157710514115,0.198742709267049,0.229357436845399
