gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000101190.12,0.891802730399137,0.899967290623605,0.596732613260766,0.718383169103994,0.73413180272522,0.650141061814917,0.083377555876905,0.371134848761561,0.649384590660154,0.129182563293143,0.537843473900599,0.657099246506087,10454,367182,18801,TCFL5,0.692104265714947,0.908647117833974,0.218925747403697,0.338328018453415
ENSG00000225978.3,0.575695563711868,0.725071303310201,0.199112022431638,0.888874751674182,0.95233203945353,0.199953679747101,0.674019116086763,0.663064216606257,0.997231494800377,0.727836188036935,0.615119485476323,0.749440787620976,10454,367182,18807,HAR1A,0.440941783931145,0.628080240199361,0.991779838972955,0.704452083200064
ENSG00000101197.12,0.984015436839424,0.392985718760335,0.216667737228586,0.977227446965964,0.37245754003318,0.222644287107274,0.214964249955038,0.784697337262875,0.0992368435589277,0.999999971451028,0.662582656653241,0.356714303992095,10454,367182,18809,BIRC7,0.974459884032707,0.97292758954963,0.244490366000777,0.999999914353084
ENSG00000125534.9,0.442638928462224,0.0880894432397057,0.404757822145429,0.65322344101015,0.0721984922358228,0.363959619004923,0.0147978457336597,0.027532369482729,0.251755919880972,0.0317695789034552,0.0685389475084548,0.327135189037769,10454,367182,18812,PPDPF,0.00277902434152166,0.123089633442711,0.0280000699932241,0.0621791582333462
ENSG00000197457.9,0.332785959799467,0.0803717128873371,0.768974757821735,0.346298800332559,0.0843289333828172,0.78253698275266,0.0990015723592672,0.224729849290159,0.893454501579434,0.0655843371830219,0.228467554045611,0.716579350642753,10454,367182,18818,STMN3,0.234341779169588,0.221455120589882,0.360270279824041,0.168693230793576
ENSG00000101246.19,0.376774963090576,0.401583011045065,0.931695777237871,0.845549767771277,0.59018765998228,0.937194652854454,0.284346330167416,0.647670211111647,0.0447250388940327,0.313671630528398,0.483853860664978,0.142294803005308,10454,367182,18821,ARFRP1,0.448004058031685,0.61593119890463,0.122985043423265,0.26099590292714
ENSG00000198276.15,0.775174765846371,0.533289020364762,0.792416004061701,0.717642472133094,0.774846875165969,0.863690162136381,0.415997783428229,0.409480321451896,0.617914074789712,0.884922911565574,0.564090348480523,0.51686167656755,10454,367182,18830,UCKL1,0.205502170634135,0.258072260431416,0.481544550171122,0.744694252565901
ENSG00000130590.13,0.790059834394184,0.163306997907312,0.257079765568734,0.652122009348694,0.109652066715658,0.495467631048517,0.781400459076164,0.251645634664776,0.256446095913582,0.787908669739891,0.234519536076173,0.250311616651334,10454,367182,18833,SAMD10,0.369736391888834,0.840568057634302,0.423988047894852,0.414229412265304
ENSG00000101161.7,0.330593602189263,0.0056808228588244,0.032985990745242,0.30358006547784,0.173065143969448,0.0278741024306233,0.649100221644965,0.866062720214704,0.0083100228986672,0.97557878902631,0.544510731102152,0.021539871083479,10454,367182,18834,PRPF6,0.0477995166506682,0.0410863883169517,0.0267943172544473,0.343561608709001
ENSG00000196421.8,0.632949856273398,0.537820406884933,0.509252437850285,0.478225271376103,0.569569586210412,0.51963948450775,0.510559530263696,0.421087073304527,0.231687960688514,0.51016659922375,0.422856392177927,0.231746027176185,10454,367182,18835,LINC00176,0.285436005959377,0.696553997996535,0.366094072405623,0.36654370731041
ENSG00000125510.15,0.118849810802079,0.637003746929215,0.929436777080699,0.136254059602624,0.622892082495651,0.397605906909955,0.707058395088912,0.51903762740941,0.386694449682137,0.764742081264667,0.486086535252791,0.508572688150276,10454,367182,18839,OPRL1,0.0248218803423903,0.183468481407796,0.547296153847242,0.610031182316678
ENSG00000203880.11,0.962844302287187,0.456596469045426,0.507961538795153,0.26259194226203,0.803156348577572,0.675478768620319,0.264254413427687,0.485934801410352,0.846647576664982,0.736625395479152,0.622785296880498,0.818281240314532,10454,367182,18841,PCMTD2,0.733341980810404,0.704923956283926,0.598014041715245,0.743642365901512
ENSG00000243064.8,0.873159061954738,0.221282545831888,0.404472526809548,0.869348519321303,0.88445935737615,0.667183065020304,0.119173658575005,0.442044437205286,0.150875144570779,0.195779443293574,0.553298895321695,0.143540513936276,10454,367182,18856,ABCC13,0.354974274604626,0.626101038655479,0.181497446991858,0.234297137625738
ENSG00000142192.20,0.0794492338708478,0.732286483658024,0.27420839857082,0.17445313010109,0.762955894408619,0.534381257140466,0.88684138326222,0.633389010998434,0.0967774855927356,0.713848532137516,0.807087990131437,0.150089921347465,10454,367182,18872,APP,0.742102436465881,0.370444792873685,0.494882698064455,0.529293970532632
ENSG00000156239.11,0.209362724588306,0.204486620865831,0.263575128196095,0.607500939443615,0.912049117290691,0.612033142152576,0.128396223929577,0.0389290652024617,0.244006200888953,0.345445546186887,0.102185584528074,0.70898607057813,10454,367182,18875,N6AMT1,0.368720572862168,0.661069887135859,0.0811094173391939,0.263004974897666
ENSG00000156253.6,0.20595044159921,0.733573329838194,0.934281508736833,0.700853112770414,0.633504004931026,0.28009292262292,0.241279651481627,0.574875841024991,0.678144297654767,0.254581223486234,0.591773973628292,0.68964772842893,10454,367182,18878,RWDD2B,0.287361358212233,0.14915605464821,0.47984490383601,0.500312062401982
ENSG00000156261.12,0.425242555187413,0.104293903775219,0.233225552205286,0.138461121797626,0.0956324133173825,0.228246352681613,0.0080114795103635,0.782137220734091,0.0172240484294379,0.0088022032587749,0.750192424750628,0.017932627438242,10454,367182,18881,CCT8,0.0539921417907682,0.0521785779165482,0.0167493262924049,0.018037854274677
ENSG00000156265.15,0.832077791072366,0.318530885782085,0.0011536480479482,0.866153678357343,0.297546803223148,0.0003723391473797,0.36508048118245,0.549399253095893,0.40968937021646,0.555175189078244,0.734246608380391,0.567350726200024,10454,367182,18882,MAP3K7CL,0.33920973375983,0.260661421663412,0.438561063489648,0.629758239851492
ENSG00000215533.8,0.140098733640385,0.107697943957091,0.804839238944812,0.720757224714496,0.210585858086281,0.781435136913231,0.577905037324814,0.917685370970104,0.845885596647396,0.438231938286783,0.945385935568122,0.81119364472735,10454,367182,18883,LINC00189,0.848382812767454,0.685950908540279,0.850951576429408,0.872065822039909
