gene_names,pg_X1_n1,pg_X2_n1,pnl_X2_n1,pg_X1_n1n2,pg_X2_n1n2,pnl_X2_n1n2,pg_X1,pg_X2,pnl_X2,stage1_fstat,stage1_X2_fstat,num_snps,n1_size,n2_size,gene_ind,gene_name
ENSG00000237491.8,0.8297760505257128,0.9231976522742241,0.7360692438575676,0.5101232567388371,0.7878400890596113,0.8356804066103319,0.1573477404144045,0.12240486361101913,0.13788399534378334,14.32434197304041,6.290553657763493,4,20000,158162,21,RP11-206L10.9
ENSG00000188290.10,0.4927364025885678,0.5296416629619594,0.37092441527248904,0.012490391338143165,0.011307711407306784,0.09881449108872746,0.0008742899492244581,0.002733653260832928,0.39357261486905737,11.319819308185933,1.9251710080449032,10,20000,158162,31,HES4
ENSG00000186891.13,0.16752131349012722,0.10628284823996037,0.10833729096844667,0.18474313009308613,0.04148809767218087,0.03186852558343522,0.6639927307908735,0.9064641436356412,0.929599806372046,11.012872977985364,4.08701034190288,12,20000,158162,37,TNFRSF18
ENSG00000176022.4,0.3711398129691834,0.6586730545014405,0.8510935279550781,0.9465355425517232,0.2942640741558037,0.11812797709632515,0.7388755003144738,0.120479942876559,0.04234096343966805,11.432419999523466,4.054944617916067,10,20000,158162,40,B3GALT6
ENSG00000224870.6,0.4557704715888443,0.7569905415120928,0.9809349383588488,0.44902385715279935,0.20749968523601253,0.1087669433005071,0.935840959423474,0.7863775448416936,0.4910328548010684,12.552517710834234,5.472256865003761,3,20000,158162,56,RP4-758J18.2
ENSG00000197530.12,0.5110093337652117,,,0.9683377335035488,,0.9683376414478024,0.1833269382499012,,,17.374718557390295,<rpy2.rinterface.NULLType object at 0x2b5000b4f8c0> [RTYPES.NILSXP],4,20000,158162,69,MIB2
ENSG00000248333.8,0.10084463710198267,0.17827210362220208,0.3843280796832049,0.11664013735241223,0.2919640266827858,0.9860058609833338,0.9627557864030926,0.5224801290788925,0.2548975983940226,13.009279357996581,4.890324150904408,11,20000,158162,71,CDK11B
ENSG00000269737.2,0.9900525671738244,0.9581454257065616,0.7701564222140274,0.6677502161900377,0.8970478537396572,0.8559277866572623,0.6793611260080027,0.4381865025934928,0.22385609923324792,11.85370178249034,14.836658419112315,19,20000,158162,72,RP11-345P4.6
ENSG00000189339.11,0.287620363725557,0.5602417593633393,0.8669111432414395,0.8356251380060603,0.9773073507739976,0.9580133091067332,0.2672096606392262,0.5105852101604098,0.7362050406063525,41.560164904225786,6.5661952699524475,14,20000,158162,73,SLC35E2B
ENSG00000008128.22,0.6016485880298024,0.644134688225352,0.4358517504798727,0.9696268071569596,0.9895457301668336,0.8889841045313245,0.6937472844979962,0.925195047474762,0.9812863742620662,27.240287009844906,8.487626396345137,9,20000,158162,75,CDK11A
ENSG00000227775.3,0.4693677884649074,0.7662163633133108,0.9238359330488922,0.9951512060108142,0.9892475417182162,0.8834224895073346,0.4297071389938128,0.7311059177315707,0.957144331231398,69.54689917092314,6.597528257048098,15,20000,158162,76,RP1-283E3.4
ENSG00000215790.6,0.4160389092933511,0.04216756859226915,0.017251408031130327,0.3419324113964075,0.1966865189466788,0.12536119392371795,0.958243891554902,0.9500913208703891,0.7521181359050839,13.813270913813682,11.053950196288246,14,20000,158162,77,SLC35E2
ENSG00000231050.1,0.050629402267435765,0.1411377793721286,0.7571145106683108,0.11339413223217305,0.076294009177846,0.1042055662245324,0.7301628424087152,0.3663867967421751,0.1692841450140914,13.580830951269418,5.619023658883194,11,20000,158162,80,RP1-140A9.1
ENSG00000067606.16,0.4556643689535516,0.5934324027520175,0.4852005904762208,0.3315967462686157,0.5624676969819753,0.6482527820535438,0.6335783587642839,0.16905591571770565,0.06811336156475882,10.986755455453363,3.4209781281562357,8,20000,158162,84,PRKCZ
ENSG00000116151.13,0.7419224489840119,0.7662173092327081,0.5148801954267528,0.4557894279337228,0.7538801371891709,0.925484533041972,0.2379746288620981,0.4411569012312414,0.6211405827777563,10.18453831859609,3.625388645182644,12,20000,158162,91,MORN1
ENSG00000149527.17,0.9194187294062822,0.5169277304407573,0.2524948038837738,0.015706932559657792,0.02684904055294566,0.2367919707237653,0.7858462110593866,0.9323645264921092,0.7967357071685617,17.22194738378127,4.753184691069465,24,20000,158162,94,PLCH2
ENSG00000238164.6,0.6898845379740355,0.9234510595421608,0.9929455207888064,0.9977885649304286,0.5140020287426798,0.2486343586903739,0.4363704620378758,0.7127795624457548,0.789213561192355,14.300365195138367,5.051830107517139,11,20000,158162,100,RP3-395M20.8
ENSG00000228037.1,0.4704312930512128,0.13075665323208208,0.05962424657102404,0.2776805459823656,0.5403600897046925,0.8186802516630121,0.4861073380428421,0.5575433524566877,0.4084165232792615,11.349079671060153,3.290970863246448,4,20000,158162,102,RP3-395M20.9
ENSG00000157870.14,0.7045739495893515,0.5734211326376192,0.32505419857963597,0.4862407822220222,0.4979686211723359,0.3402424600750029,0.3581484475278123,0.6110356269471401,0.7073544868916914,14.585380525914688,4.943917487457108,8,20000,158162,103,FAM213B
ENSG00000142606.15,0.667552124886985,0.7517168563971125,0.5342418061960269,0.5505196312092888,0.4100348431525862,0.2323279168380771,0.057548809873332586,0.039144915976121575,0.0899971214996747,21.00081916145156,9.175242381272652,6,20000,158162,104,MMEL1
ENSG00000215912.12,0.6974150281382623,0.7291279902588131,0.488133289295379,0.9432923436168228,0.824785613869732,0.5375394800631736,0.809419799222087,0.7589744597329641,0.4823635748248533,15.586343817119108,2.592821467076557,3,20000,158162,105,TTC34
ENSG00000116213.15,0.07390528223349835,0.19567085113728636,0.7933138499682679,0.5847497168346535,0.8558821762440949,0.9108235179549019,0.6219795642642126,0.013613880556388423,0.003856194321653751,12.757473884581204,3.814239196261787,16,20000,158162,110,WRAP73
ENSG00000235169.7,0.3999666543455649,0.013981932983334869,0.0051346781676168025,0.2291669605596761,0.048555054764279584,0.03189752102763496,0.2505005555082996,0.4951531690222678,0.7701390188411711,20.655212574546553,4.139950967283451,23,20000,158162,112,SMIM1
ENSG00000116198.12,0.220743524585036,0.4724883706995801,0.9995505565511384,0.861827898400558,0.9560491064806764,0.8072628018341055,0.7525868867909001,0.9486102487538493,0.9369788219517206,19.857345018389907,3.437350857971029,22,20000,158162,115,CEP104
ENSG00000198912.10,0.3884704366800349,0.6651495103493829,0.7887496785427238,0.2843252481505343,0.1816166991027494,0.13229821635531525,0.41142082814184266,0.6039413283560227,0.5633288108326066,11.097767089929292,4.107647884489806,24,20000,158162,117,C1orf174
ENSG00000069424.14,0.4159478535976727,0.6343104663449304,0.6179793755005845,0.29469528936759115,0.5706119949369768,0.8769728689080358,0.6484198941286856,0.8993788918393473,0.9476485080230612,12.599591969020867,3.1123581473331043,11,20000,158162,119,KCNAB2
ENSG00000116237.15,0.4359851315099956,0.3631222442643974,0.23353609173766654,0.11103175320564143,0.21754796538326446,0.4746541584862421,0.2302362952399695,0.2737466453585888,0.28317030522123005,13.578615438098495,6.717223203090372,7,20000,158162,123,ICMT
ENSG00000187017.15,0.7972723050275408,0.5340803722948073,0.2756499656442482,0.13598170585900773,0.099993012032207,0.12271089676202668,0.05622213957873888,0.025103053588227488,0.05363013358214499,15.452221306439707,5.6924768187015475,10,20000,158162,126,ESPN
ENSG00000171680.21,0.5643444823827494,0.8287886810376984,0.8350500005306466,0.3837853946397259,0.5725156334434967,0.5502849229291631,0.8064070810816433,0.8284696539354691,0.5737790879260127,13.816960486579829,4.823174338028021,11,20000,158162,128,PLEKHG5
ENSG00000204859.12,0.22603199274657196,0.475352777020088,0.8826639195397242,0.309047784657024,0.4799100029394633,0.5102808969271766,0.9768944271577524,0.9776573157561356,0.8329998269088612,21.2666008527052,2.846790597169868,3,20000,158162,130,ZBTB48
ENSG00000116273.5,0.3480346856692038,0.4775586410617415,0.4395168536045996,0.006853186172912757,0.013460281704390406,0.2533184143904261,0.11592710971712622,0.2279965466781051,0.4859593704898783,22.06744566863402,3.0901769402222596,5,20000,158162,131,PHF13
ENSG00000049245.12,0.8898244569526637,0.9870997978457796,0.9343339480457156,0.585282889851175,0.0888612181178632,0.033044143112914884,0.3051561098799859,0.5685533641553753,0.7801570439403503,14.162957562059919,3.573535831471744,19,20000,158162,136,VAMP3
ENSG00000142599.17,0.18466851697739334,0.38187224651301505,0.6839254207375243,0.06339215233692863,0.17847911199480326,0.9899426302595398,0.34401280183041905,0.6326455074124853,0.8864817648449895,21.86486579493859,5.1699503477002215,6,20000,158162,145,RERE
ENSG00000228526.6,0.940549055004112,0.24644938098172295,0.09452485046228877,0.5880619858492661,0.8276182163130558,0.7707075158777865,0.2613812012566181,0.4404922679669797,0.5384567540770671,10.461619764804002,3.876075936790449,6,20000,158162,153,MIR34AHG
